"","cond","tasks","s","t","s2i","t2s","t2i","recall","speaker_id"
"1","",1,2,".","2",".",".",0.218333333333333,0.297
"2","disjoint",2,2,"1","2","0",".",0.279866666666667,0.177
"3","disjoint",3,2,"1","1","0","1",0.275333333333333,0.362
"4","disjoint",3,2,"1","1","1","1",0.2574,0.494
"5","disjoint",3,2,"1","2","0","1",0.2796,0.177
"6","disjoint",3,2,"1","2","1","1",0.252066666666667,0.219
"7","disjoint",3,4,"1","0","0","0",0.223133333333333,0.282
"8","joint",2,2,"1","2","0",".",0.2792,0.101
"9","joint",3,2,"1","1","0","1",0.280466666666667,0.241
"10","joint",3,2,"1","1","1","1",0.2656,0.43
"11","joint",3,2,"1","2","0","1",0.281266666666667,0.085
"12","joint",3,2,"1","2","1","1",0.269933333333333,0.166
"13","joint",3,4,"1","0","0","0",0.2546,0.182
